"diagnosis_code","diagnosis_description","is_chronic_condition","gold_updated_at"
"82423001",Chronic pain,0,"2026-07-30 18:52:40.634"
"703151001",History of single seizure (situation),0,"2026-07-30 18:52:40.634"
"241929008",Acute allergic reaction,0,"2026-07-30 18:52:40.634"
"198992004",Antepartum eclampsia,0,"2026-07-30 18:52:40.634"
"83664006",Idiopathic atrophic hypothyroidism,0,"2026-07-30 18:52:40.634"
"10509002",Acute bronchitis (disorder),0,"2026-07-30 18:52:40.634"
"195662009",Acute viral pharyngitis (disorder),0,"2026-07-30 18:52:40.634"
"197927001",Recurrent urinary tract infection,0,"2026-07-30 18:52:40.634"
"363406005",Malignant tumor of colon,0,"2026-07-30 18:52:40.634"
"429007001",History of cardiac arrest (situation),0,"2026-07-30 18:52:40.634"
"192127007",Child attention deficit disorder,0,"2026-07-30 18:52:40.634"
"713197008",Recurrent rectal polyp,0,"2026-07-30 18:52:40.634"
"185086009",Chronic obstructive bronchitis (disorder),0,"2026-07-30 18:52:40.634"
"55680006",Drug overdose,0,"2026-07-30 18:52:40.634"
"44054006",Diabetes,1,"2026-07-30 18:52:40.634"
"43878008",Streptococcal sore throat (disorder),0,"2026-07-30 18:52:40.634"
"359817006",Closed fracture of hip,0,"2026-07-30 18:52:40.634"
"162864005",Body mass index 30+ - obesity (finding),0,"2026-07-30 18:52:40.634"
"40275004",Contact dermatitis,0,"2026-07-30 18:52:40.634"
"403190006",First degree burn,0,"2026-07-30 18:52:40.634"
"275272006",Brain damage - traumatic,0,"2026-07-30 18:52:40.634"
"59621000",Hypertension,1,"2026-07-30 18:52:40.634"
"284549007",Laceration of hand,0,"2026-07-30 18:52:40.634"
"55822004",Hyperlipidemia,0,"2026-07-30 18:52:40.634"
"72892002",Normal pregnancy,0,"2026-07-30 18:52:40.634"
"36971009",Sinusitis (disorder),0,"2026-07-30 18:52:40.634"
"283385000",Laceration of thigh,0,"2026-07-30 18:52:40.634"
"444814009",Viral sinusitis (disorder),0,"2026-07-30 18:52:40.634"
"62106007",Concussion with no loss of consciousness,0,"2026-07-30 18:52:40.634"
"110030002",Concussion injury of brain,0,"2026-07-30 18:52:40.634"
"64859006",Osteoporosis (disorder),0,"2026-07-30 18:52:40.634"
"84757009",Epilepsy,0,"2026-07-30 18:52:40.634"
"16114001",Fracture of ankle,0,"2026-07-30 18:52:40.634"
"307731004",Injury of tendon of the rotator cuff of shoulder,0,"2026-07-30 18:52:40.634"
"15777000",Prediabetes,1,"2026-07-30 18:52:40.634"
"124171000119105",Chronic intractable migraine without aura,0,"2026-07-30 18:52:40.634"
"19169002",Miscarriage in first trimester,0,"2026-07-30 18:52:40.634"
"254637007",Non-small cell lung cancer (disorder),0,"2026-07-30 18:52:40.634"
"232353008",Perennial allergic rhinitis with seasonal variation,0,"2026-07-30 18:52:40.634"
"75498004",Acute bacterial sinusitis (disorder),0,"2026-07-30 18:52:40.634"
"68496003",Polyp of colon,0,"2026-07-30 18:52:40.634"
"128613002",Seizure disorder,0,"2026-07-30 18:52:40.634"
"239873007",Osteoarthritis of knee,0,"2026-07-30 18:52:40.634"
"58150001",Fracture of clavicle,0,"2026-07-30 18:52:40.634"
"301011002",Escherichia coli urinary tract infection,0,"2026-07-30 18:52:40.634"
"162573006",Suspected lung cancer (situation),0,"2026-07-30 18:52:40.634"
"410429000",Cardiac Arrest,0,"2026-07-30 18:52:40.634"
"38822007",Cystitis,0,"2026-07-30 18:52:40.634"
"367498001",Seasonal allergic rhinitis,0,"2026-07-30 18:52:40.634"
"196416002",Impacted molars,0,"2026-07-30 18:52:40.634"
"70704007",Sprain of wrist,0,"2026-07-30 18:52:40.634"
"428251008",History of appendectomy,0,"2026-07-30 18:52:40.634"
"156073000",Fetus with unknown complication,0,"2026-07-30 18:52:40.634"
"370247008",Facial laceration,0,"2026-07-30 18:52:40.634"
"263102004",Fracture subluxation of wrist,0,"2026-07-30 18:52:40.634"
"424132000","Non-small cell carcinoma of lung, TNM stage 1 (disorder)",0,"2026-07-30 18:52:40.634"
"44465007",Sprain of ankle,0,"2026-07-30 18:52:40.634"
"230690007",Stroke,0,"2026-07-30 18:52:40.634"
"446096008",Perennial allergic rhinitis,0,"2026-07-30 18:52:40.634"
"40055000",Chronic sinusitis (disorder),0,"2026-07-30 18:52:40.634"
"65363002",Otitis media,0,"2026-07-30 18:52:40.634"
"74400008",Appendicitis,0,"2026-07-30 18:52:40.634"
"35999006",Blighted ovum,0,"2026-07-30 18:52:40.634"
"271737000",Anemia (disorder),0,"2026-07-30 18:52:40.634"
"26929004",Alzheimer's disease (disorder),0,"2026-07-30 18:52:40.634"
